function                type                         args
tickPrice               i,c,n,n,TickAttrib           tickerId,field,price,size,attrib
tickSize                i,c,n                        tickerId,field,size
tickOptionComputation   i,c,i,n,n,n,n,n,n,n,n        tickerId,tickType,tickAttrib,impliedVol,delta,optPrice,pvDividend,gamma,vega,theta,undPrice
tickGeneric             i,c,n                        tickerId,tickType,value
tickString              i,c,c                        tickerId,tickType,value
tickEFP                 i,c,n,c,n,i,c,n,n            tickerId,tickType,basisPoints,formattedBasisPoints,totalDividends,holdDays,futureLastTradeDate,dividendImpact,dividendsToLastTradeDate
orderStatus             i,c,n,n,n,i,i,n,i,c,n        orderId,status,filled,remaining,avgFillPrice,permId,parentId,lastFillPrice,clientId,whyHeld,mktCapPrice
openOrder               i,Contract,Order,OrderState  orderId,contract,order,orderstate
openOrderEnd            NA                           NA
updateAccountValue      c,c,c,c                      key,val,currency,accountName
updatePortfolio         Contract,n,n,n,n,n,n,c       contract,position,marketPrice,marketValue,averageCost,unrealizedPNL,realizedPNL,accountName
updateAccountTime       c                            timeStamp
accountDownloadEnd      c                            accountName
nextValidId             i                            orderId
contractDetails         i,ContractDetails            reqId,contractDetails
bondContractDetails     i,ContractDetails            reqId,contractDetails
contractDetailsEnd      i                            reqId
execDetails             i,Contract,Execution         reqId,contract,execution
execDetailsEnd          i                            reqId
error                   i,i,c                        id,errorCode,errorString
updateMktDepth          i,i,i,i,n,n                  id,position,operation,side,price,size
updateMktDepthL2        i,i,c,i,i,n,n,l              id,position,marketMaker,operation,side,price,size,isSmartDepth
updateNewsBulletin      i,i,c,c                      msgId,msgType,newsMessage,originExch
managedAccounts         c                            accountsList
receiveFA               c,c                          faDataType,xml
historicalData          i,dBar                       reqId,bar
scannerParameters       c                            xml
scannerData             i,i,vContractDetails,c,c,c,c reqId,rank,contractDetails,distance,benchmark,projection,legsStr
realtimeBar             i,i,n,n,n,n,n,n,i            reqId,time,open,high,low,close,volume,wap,count
currentTime             i                            time
fundamentalData         i,c                          reqId,data
deltaNeutralValidation  i,DeltaNeutralContract       reqId,deltaNeutralContract
tickSnapshotEnd         i                            reqId
marketDataType          i,i                          reqId,marketDataType
commissionReport        CommissionReport             commissionReport
position                c,Contract,n,n               account,contract,position,avgCost
positionEnd             NA                           NA
accountSummary          i,c,c,c,c                    reqId,account,tag,value,currency
accountSummaryEnd       i                            reqId
verifyMessageAPI        c                            apiData
verifyCompleted         l,c                          isSuccessful,errorText
displayGroupList        i,c                          reqId,groups
displayGroupUpdated     i,c                          reqId,contractInfo
verifyAndAuthMessageAPI c,c                          apiData,xyzChallange
verifyAndAuthCompleted  l,c                          isSuccessful,errorText
positionMulti           i,c,c,Contract,n,n           reqId,account,modelCode,contract,position,avgCost
positionMultiEnd        i                            reqId
accountUpdateMulti      i,c,c,c,c,c                  reqId,account,modelCode,key,value,currency
accountUpdateMultiEnd   i                            reqId
securityDefinitionOptionalParameter   i,c,i,c,c,c,n  reqId,exchange,underlyingConId,tradingClass,multiplier,expirations,strikes
securityDefinitionOptionalParameterEnd  i            reqId
softDollarTiers         i,dSoftDollarTier            reqId,tiers
familyCodes             dFamilyCode                  familyCodes
symbolSamples           i,vContractDescription       reqId,contractDescriptions
mktDepthExchanges       dDepthMktDataDescription     depthMktDataDescriptions
tickNews                i,c,c,c,c,c                  tickerId,timeStamp,providerCode,articleId,headline,extraData
smartComponents         i,dSmartComponent            reqId,theMap
tickReqParams           i,n,c,i                      tickerId,minTick,bboExchange,snapshotPermissions
newsProviders           dNewsProvider                newsProviders
newsArticle             i,i,c                        requestId,articleType,articleText
historicalNews          i,c,c,c,c                    requestId,time,providerCode,articleId,headline
historicalNewsEnd       i,l                          requestId,hasMore
headTimestamp           i,c                          reqId,headTimestamp
histogramData           i,dHistogramData             reqId,data
historicalDataUpdate    i,Bar                        reqId,bar
rerouteMktDataReq       i,i,c                        reqId,conid,exchange
rerouteMktDepthReq      i,i,c                        reqId,conid,exchange
marketRule              i,dPriceIncrement            marketRuleId,priceIncrements
pnl                     i,n,n,n                      reqId,dailyPnL,unrealizedPnL,realizedPnL
pnlSingle               i,i,n,n,n,n                  reqId,pos,dailyPnL,unrealizedPnL,realizedPnL,value
historicalTicks         i,dHistoricalTick,l          reqId,ticks,done
historicalTicksBidAsk   i,dHistoricalTickBidAsk,l    reqId,ticks,done
historicalTicksLast     i,dHistoricalTickLast,l      reqId,ticks,done
tickByTickAllLast       i,i,c,n,n,TickAttribLast,c,c reqId,tickType,time,price,size,attribs,exchange,specialConditions
tickByTickBidAsk        i,c,n,n,n,n,TickAttribBidAsk reqId,time,bidPrice,askPrice,bidSize,askSize,attribs
tickByTickMidPoint      i,c,n                        reqId,time,midPoint
orderBound              i,i,i                        orderId,apiClientId,apiOrderId
completedOrder          Contract,Order,OrderState    contract,order,orderState
completedOrdersEnd      NA                           NA
replaceFAEnd            i,c                          reqId,text
wshMetaData             i,c                          reqId,dataJson
wshEventData            i,c                          reqId,dataJson
historicalSchedule      i,c,c,c,dHistoricalSession   reqId,startDateTime,endDateTime,timeZone,sessions
